(0.00, 0.00, 0.86),(0.00, 0.00, 17.13),1617.047114179569
(0.00, 0.00, 0.86),(0.00, 0.00, 17.13),887.9950776876905
(0.00, 0.00, 0.86),(0.00, 0.00, 17.13),1063.8017812130968
(0.00, 0.00, 0.86),(0.00, 0.00, 17.13),1576.8776174412542
(0.00, 0.00, 0.86),(0.00, 0.00, 17.13),1709.8405959075321
(0.90, 0.67, 2.56),(18.04, 13.40, 34.10),1095.3345367504062
(0.94, 0.70, 2.59),(18.75, 13.93, 34.73),628.99998323734
(0.97, 0.72, 2.63),(19.46, 14.46, 35.44),789.1096123566317
(1.04, 0.78, 2.70),(20.89, 15.52, 36.86),1286.1161072004973
(1.08, 0.80, 2.73),(21.59, 16.04, 37.55),1462.9667253516564
(2.66, 1.93, 4.22),(35.09, 25.18, 33.25),1042.8777677315684
(2.79, 1.98, 4.26),(36.98, 25.57, 33.35),590.4977057458456
(2.92, 2.03, 4.32),(39.02, 26.06, 33.73),729.9903196064502
(3.20, 2.13, 4.43),(43.21, 27.13, 34.58),1154.6115400929136
(3.35, 2.19, 4.49),(45.37, 27.69, 35.02),1294.097104569716
(4.95, 3.99, 6.03),(45.86, 41.26, 36.09),998.5993783251278
(5.22, 4.06, 6.03),(48.65, 41.67, 35.41),570.8691873289924
(5.51, 4.14, 6.07),(51.65, 42.34, 35.16),711.2765407849622
(6.08, 4.33, 6.17),(57.59, 43.88, 34.83),1140.5419362908715
(6.37, 4.42, 6.22),(60.53, 44.71, 34.70),1285.904432713003
(7.68, 6.46, 8.55),(54.55, 49.44, 50.37),808.6952016102537
(8.15, 6.55, 8.52),(58.63, 49.73, 49.73),460.2040550405286
(8.66, 6.67, 8.56),(63.08, 50.44, 49.64),569.9187692709515
(9.67, 6.93, 8.65),(71.80, 52.00, 49.62),903.0301971655774
(10.18, 7.06, 8.70),(76.06, 52.81, 49.65),1012.1954581464047
(10.89, 8.98, 11.57),(64.21, 50.33, 60.50),747.1517560921452
(11.60, 9.04, 11.50),(69.04, 49.88, 59.58),426.39352296546986
(12.38, 9.17, 11.52),(74.46, 50.06, 59.33),527.7076309435208
(13.93, 9.45, 11.59),(85.14, 50.46, 58.77),834.5112483867282
(14.69, 9.59, 11.62),(90.33, 50.61, 58.40),934.2646924046592
(14.56, 11.71, 14.99),(73.52, 54.58, 68.34),649.3449379910948
(15.55, 11.71, 14.87),(78.97, 53.43, 67.38),374.63821802848815
(16.65, 11.82, 14.88),(85.23, 53.07, 67.22),466.8421679432125
(18.81, 12.06, 14.92),(97.62, 52.25, 66.64),750.9628117607142
(19.87, 12.18, 14.93),(103.61, 51.71, 66.12),849.7309977567302
(18.57, 14.81, 18.63),(80.03, 62.08, 72.86),518.7764132513892
(19.86, 14.75, 18.46),(86.09, 60.81, 71.83),299.35322053185956
(21.31, 14.85, 18.47),(93.21, 60.46, 71.84),370.4324824441791
(24.18, 15.04, 18.50),(107.31, 59.59, 71.64),587.3330748857749
(25.58, 15.13, 18.49),(114.14, 58.96, 71.32),660.1648040829778
(22.82, 18.22, 22.38),(85.11, 68.22, 74.89),428.6780326267232
(24.44, 18.09, 22.13),(91.71, 66.77, 73.39),250.31060136988293
(26.28, 18.16, 22.13),(99.56, 66.34, 73.18),310.27615395757954
